#,ID,NAME,UNCONSTRAINED,MIRIAM,COMPOSITION,InChI,COMPARTMENT,REPLACEMENT ID,CHARGE,SMILES,MNXM_ID,chebi_id,kegg_id,metMetaNetXID_new,standard_smiles,inchikey0
,"5,10-methenyl-THF[c]","5,10-methenyl-THF",,bigg.metabolite/methf;chebi/CHEBI:57455;kegg.compound/C00445;metanetx.chemical/MNXM511;sbo/SBO:0000247,C20H20N7O6,,c,s_0304,-1.0,Nc1nc2c(c(=O)[nH]1)[N+]1=CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)[O-])cc3)CC1CN2,MNXM511,CHEBI:57455,C00445,,Nc1nc2c(c(=O)[nH]1)[N+]1=CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)[O-])cc3)CC1CN2,MEANFMOQMXYMCT
,"5,10-methenyl-THF[m]","5,10-methenyl-THF",,bigg.metabolite/methf;chebi/CHEBI:57455;kegg.compound/C00445;metanetx.chemical/MNXM511;sbo/SBO:0000247,C20H20N7O6,,m,s_0305,-1.0,Nc1nc2c(c(=O)[nH]1)[N+]1=CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)[O-])cc3)CC1CN2,MNXM511,CHEBI:57455,C00445,,Nc1nc2c(c(=O)[nH]1)[N+]1=CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)[O-])cc3)CC1CN2,MEANFMOQMXYMCT
,"5,10-methylenetetrahydrofolate[c]","5,10-methylenetetrahydrofolate",,bigg.metabolite/mlthf;chebi/CHEBI:12071;kegg.compound/C00143;metanetx.chemical/MNXM183;sbo/SBO:0000247,C20H21N7O6,,c,s_0306,-2.0,Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)CC1CN2,MNXM183,CHEBI:12071,C00143,MNXM1102150,Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)CC1CN2,QYNUQALWYRSVHF
,"5,10-methylenetetrahydrofolate[m]","5,10-methylenetetrahydrofolate",,bigg.metabolite/mlthf;chebi/CHEBI:12071;kegg.compound/C00143;metanetx.chemical/MNXM183;sbo/SBO:0000247,C20H21N7O6,,m,s_0307,-2.0,Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)CC1CN2,MNXM183,CHEBI:12071,C00143,MNXM1102150,Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)CC1CN2,QYNUQALWYRSVHF
,"5,6,7,8-tetrahydrofolyl-L-glutamic acid[c]","5,6,7,8-tetrahydrofolyl-L-glutamic acid",,bigg.metabolite/thfglu;chebi/CHEBI:27650;kegg.compound/C09332;metanetx.chemical/MNXM723480;sbo/SBO:0000247,C24H27N8O9,,c,s_0308,-3.0,Nc1nc2c(c(=O)[nH]1)NC(CNc1ccc(C(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)cc1)CN2,MNXM723480,CHEBI:27650,C09332,MNXM733068,Nc1nc2c(c(=O)[nH]1)NC(CNc1ccc(C(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)cc1)CN2,ZAOGJXDWOQXFBW
,"5,6-bis(diphospho)-1D-myo-inositol tetrakisphosphate[c]","5,6-bis(diphospho)-1D-myo-inositol tetrakisphosphate",,chebi/CHEBI:52965;metanetx.chemical/MNXM487477;sbo/SBO:0000247,C6H7O30P8,,c,s_0309,-13.0,O=P(O)(O)OC1C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)OP(=O)(O)O)C(OP(=O)(O)OP(=O)(O)O)C1OP(=O)(O)O,MNXM487477,CHEBI:52965,,MNXM737088,O=P(O)(O)OC1C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)OP(=O)(O)O)C(OP(=O)(O)OP(=O)(O)O)C1OP(=O)(O)O,GXPFHIDIIMSLOF
,5-(2-hydroxyethyl)-4-methylthiazole[c],5-(2-hydroxyethyl)-4-methylthiazole,,bigg.metabolite/4mhetz;chebi/CHEBI:17957;kegg.compound/C04294;metanetx.chemical/MNXM962;sbo/SBO:0000247,C6H9NOS,,c,s_0310,0.0,Cc1ncsc1CCO,MNXM962,CHEBI:17957,C04294,,Cc1ncsc1CCO,BKAWJIRCKVUVED
,"5-(methylsulfanyl)-2,3-dioxopentyl phosphate[c]","5-(methylsulfanyl)-2,3-dioxopentyl phosphate",,bigg.metabolite/dkmpp;chebi/CHEBI:58828;kegg.compound/C15650;metanetx.chemical/MNXM162358;sbo/SBO:0000247,C6H9O6PS,,c,s_0311,-2.0,CSCCC(=O)C(=O)COP(=O)(O)O,MNXM162358,CHEBI:58828,C15650,,CSCCC(=O)C(=O)COP(=O)(O)O,HKEAOVFNWRDVAJ
,5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide[c],5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide,,bigg.metabolite/prlp;chebi/CHEBI:58525;kegg.compound/C04916;metanetx.chemical/MNXM1408;sbo/SBO:0000247,C15H21N5O15P2,,c,s_0312,-4.0,NC(=O)c1ncn([C@@H]2O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]2O)c1NC=NCC(=O)[C@H](O)[C@H](O)COP([O-])([O-])=O,MNXM1408,CHEBI:58525,C04916,,NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1NC=NCC(=O)[C@H](O)[C@H](O)COP(=O)([O-])[O-],BLKFNHOCHNCLII
,5-amino-6-(5-phosphoribitylamino)uracil[c],5-amino-6-(5-phosphoribitylamino)uracil,,bigg.metabolite/5aprbu;chebi/CHEBI:58421;kegg.compound/C04454;metanetx.chemical/MNXM1178;sbo/SBO:0000247,C9H15N4O9P,,c,s_0313,-2.0,Nc1c(NCC(O)C(O)C(O)COP(=O)(O)O)[nH]c(=O)[nH]c1=O,MNXM1178,CHEBI:58421,C04454,,Nc1c(NCC(O)C(O)C(O)COP(=O)(O)O)[nH]c(=O)[nH]c1=O,RQRINYISXYAZKL
,5-amino-6-(D-ribitylamino)uracil[c],5-amino-6-(D-ribitylamino)uracil,,bigg.metabolite/4r5au;chebi/CHEBI:15934;kegg.compound/C04732;metanetx.chemical/MNXM791;sbo/SBO:0000247,C9H16N4O6,,c,s_0314,0.0,Nc1c(NCC(O)C(O)C(O)CO)[nH]c(=O)[nH]c1=O,MNXM791,CHEBI:15934,C04732,MNXM737103,Nc1c(NCC(O)C(O)C(O)CO)[nH]c(=O)[nH]c1=O,XKQZIXVJVUPORE
,5-aminolevulinate[c],5-aminolevulinate,,bigg.metabolite/5aop;chebi/CHEBI:17549;kegg.compound/C00430;metanetx.chemical/MNXM405;sbo/SBO:0000247,C5H9NO3,,c,s_0315,0.0,NCC(=O)CCC(=O)O,MNXM405,CHEBI:17549,C00430,,NCC(=O)CCC(=O)O,ZGXJTSGNIOSYLO
,5-aminolevulinate[e],5-aminolevulinate,,bigg.metabolite/5aop;chebi/CHEBI:17549;kegg.compound/C00430;metanetx.chemical/MNXM405;sbo/SBO:0000247,C5H9NO3,,e,s_0316,0.0,NCC(=O)CCC(=O)O,MNXM405,CHEBI:17549,C00430,,NCC(=O)CCC(=O)O,ZGXJTSGNIOSYLO
,5-aminolevulinate[m],5-aminolevulinate,,bigg.metabolite/5aop;chebi/CHEBI:17549;kegg.compound/C00430;metanetx.chemical/MNXM405;sbo/SBO:0000247,C5H9NO3,,m,s_0317,0.0,NCC(=O)CCC(=O)O,MNXM405,CHEBI:17549,C00430,,NCC(=O)CCC(=O)O,ZGXJTSGNIOSYLO
,5-diphospho-1D-myo-inositol pentakisphosphate[c],5-diphospho-1D-myo-inositol pentakisphosphate,,bigg.metabolite/ppmi12346p;chebi/CHEBI:58628;kegg.compound/C11526;metanetx.chemical/MNXM1715;sbo/SBO:0000247,C6H6O27P7,,c,s_0318,-13.0,O=P(O)(O)OC1C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)OP(=O)(O)O)C(OP(=O)(O)O)C1OP(=O)(O)O,MNXM1715,CHEBI:58628,C11526,MNXM1102135,O=P(O)(O)OC1C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)OP(=O)(O)O)C(OP(=O)(O)O)C1OP(=O)(O)O,UPHPWXPNZIOZJL
,5-formyltetrahydrofolic acid[c],5-formyltetrahydrofolic acid,,bigg.metabolite/5fthf;chebi/CHEBI:57457;kegg.compound/C03479;metanetx.chemical/MNXM1392;sbo/SBO:0000247,C20H21N7O7,,c,s_0319,-2.0,Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2,MNXM1392,CHEBI:57457,C03479,MNXM728274,Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2,VVIAGPKUTFNRDU
,5-formyltetrahydrofolic acid[e],5-formyltetrahydrofolic acid,,bigg.metabolite/5fthf;chebi/CHEBI:57457;kegg.compound/C03479;metanetx.chemical/MNXM1392;sbo/SBO:0000247,C20H21N7O7,,e,s_0320,-2.0,Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2,MNXM1392,CHEBI:57457,C03479,MNXM728274,Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2,VVIAGPKUTFNRDU
,5-formyltetrahydrofolic acid[m],5-formyltetrahydrofolic acid,,bigg.metabolite/5fthf;chebi/CHEBI:57457;kegg.compound/C03479;metanetx.chemical/MNXM1392;sbo/SBO:0000247,C20H21N7O7,,m,s_0321,-2.0,Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2,MNXM1392,CHEBI:57457,C03479,MNXM728274,Nc1nc2c(c(=O)[nH]1)N(C=O)C(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2,VVIAGPKUTFNRDU
,5-methyltetrahydrofolate[c],5-methyltetrahydrofolate,,bigg.metabolite/5mthf;chebi/CHEBI:18608;kegg.compound/C00440;metanetx.chemical/MNXM318;sbo/SBO:0000247,C20H23N7O6,,c,s_0322,-2.0,CN1c2c(nc(N)[nH]c2=O)NCC1CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,MNXM318,CHEBI:18608,C00440,MNXM733945,CN1c2c(nc(N)[nH]c2=O)NCC1CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,ZNOVTXRBGFNYRX
,5-methyltetrahydropteroyltri-L-glutamic acid[c],5-methyltetrahydropteroyltri-L-glutamic acid,,bigg.metabolite/mhpglu;chebi/CHEBI:58207;kegg.compound/C04489;metanetx.chemical/MNXM2623;sbo/SBO:0000247,C30H35N9O12,,c,s_0323,-4.0,CN1c2c(nc(N)[nH]c2=O)NCC1CNc1ccc(C(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)cc1,MNXM2623,CHEBI:58207,C04489,MNXM733156,CN1c2c(nc(N)[nH]c2=O)NCC1CNc1ccc(C(=O)NC(CCC(=O)NC(CCC(=O)NC(CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)cc1,HVRNKDVLFAVCJF
,5-O-(1-carboxyvinyl)-3-phosphoshikimic acid[c],5-O-(1-carboxyvinyl)-3-phosphoshikimic acid,,bigg.metabolite/3psme;chebi/CHEBI:57701;kegg.compound/C01269;metanetx.chemical/MNXM1365;sbo/SBO:0000247,C10H9O10P,,c,s_0324,-4.0,C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1O)C(=O)O,MNXM1365,CHEBI:57701,C01269,,C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1O)C(=O)O,QUTYKIXIUDQOLK
,5-phospho-ribosyl-glycineamide[c],5-phospho-ribosyl-glycineamide,,bigg.metabolite/gar;chebi/CHEBI:58457;kegg.compound/C03838;metanetx.chemical/MNXM463;sbo/SBO:0000247,C7H14N2O8P,,c,s_0325,-1.0,[NH3+]CC(=O)NC1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O,MNXM463,CHEBI:58457,C03838,MNXM736540,[NH3+]CC(=O)NC1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,OBQMLSFOUZUIOB
,5-phosphoribosyl-ATP[c],5-phosphoribosyl-ATP,,bigg.metabolite/prbatp;chebi/CHEBI:58424;kegg.compound/C02739;metanetx.chemical/MNXM1351;sbo/SBO:0000247,C15H19N5O20P4,,c,s_0326,-6.0,N=c1c2ncn(C3OC(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])C(O)C3O)c2ncn1C1OC(COP(=O)([O-])[O-])C(O)C1O,MNXM1351,CHEBI:58424,C02739,MNXM728132,N=c1c2ncn(C3OC(COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])C(O)C3O)c2ncn1C1OC(COP(=O)([O-])[O-])C(O)C1O,RKNHJBVBFHDXGR
,5-phosphoribosylamine[c],5-phosphoribosylamine,,bigg.metabolite/pram;chebi/CHEBI:58681;kegg.compound/C03090;metanetx.chemical/MNXM90003;sbo/SBO:0000247,C5H11NO7P,,c,s_0327,-1.0,NC1OC(COP(=O)(O)O)C(O)C1O,MNXM90003,CHEBI:58681,C03090,MNXM737099,NC1OC(COP(=O)(O)O)C(O)C1O,SKCBPEVYGOQGJN
,"6,7-dimethyl-8-(1-D-ribityl)lumazine[c]","6,7-dimethyl-8-(1-D-ribityl)lumazine",,bigg.metabolite/dmlz;chebi/CHEBI:58201;kegg.compound/C04332;metanetx.chemical/MNXM1313;sbo/SBO:0000247,C13H17N4O6,,c,s_0328,-1.0,Cc1nc2c(=O)[nH]c(=O)nc-2n(CC(O)C(O)C(O)CO)c1C,MNXM1313,CHEBI:58201,C04332,MNXM728011,Cc1nc2c(=O)[nH]c(=O)nc-2n(CC(O)C(O)C(O)CO)c1C,SXDXRJZUAJBNFL
,6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol[er],6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol,,bigg.metabolite/gpail_hs;chebi/CHEBI:17049;kegg.compound/C04248;metanetx.chemical/MNXM1411;sbo/SBO:0000247,C17H28NO17PR2,,er,s_0329,0.0,NC1C(OC2C(O)C(O)C(O)C(O)C2OP(=O)(O)OCC(COC=O)OC=O)OC(CO)C(O)C1O,MNXM1411,CHEBI:17049,C04248,MNXM728328,NC1C(OC2C(O)C(O)C(O)C(O)C2OP(=O)(O)OCC(COC=O)OC=O)OC(CO)C(O)C1O,KMXDCNYDSLACTP
,6-(alpha-D-glucosaminyl)-O-acyl-1-phosphatidyl-1D-myo-inositol[er],6-(alpha-D-glucosaminyl)-O-acyl-1-phosphatidyl-1D-myo-inositol,,chebi/CHEBI:53055;metanetx.chemical/MNXM38512;sbo/SBO:0000247,,,er,s_0330,0.0,,MNXM38512,CHEBI:53055,,,,
,6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol[er],6-(N-acetyl-alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol,,bigg.metabolite/acgpail_hs;chebi/CHEBI:57265;kegg.compound/C01288;metanetx.chemical/MNXM999;sbo/SBO:0000247,C19H30NO18PR2,,er,s_0331,0.0,,MNXM999,CHEBI:57265,C01288,MNXM741476,,
,6-[6-(2-aminoethylphosphoryl)-alpha-mannosyl-(1->6)-2-(2-aminoethylphosphoryl)-alpha-mannosyl-(1->6)-alpha-2-(2-aminoethylphosphoryl)mannosyl-(1->4)-alpha-glucosaminyl]-O-acyl-1-phosphatidyl-1D-myo-inositol[er],6-[6-(2-aminoethylphosphoryl)-alpha-mannosyl-(1->6)-2-(2-aminoethylphosphoryl)-alpha-mannosyl-(1->6)-alpha-2-(2-aminoethylphosphoryl)mannosyl-(1->4)-alpha-glucosaminyl]-O-acyl-1-phosphatidyl-1D-myo-inositol,,chebi/CHEBI:53060;metanetx.chemical/MNXM38542;sbo/SBO:0000247,C43H44N9O,,er,s_0332,0.0,,MNXM38542,CHEBI:53060,,,,
,6-diphospho-1D-myo-inositol pentakisphosphate[c],6-diphospho-1D-myo-inositol pentakisphosphate,,chebi/CHEBI:53065;kegg.compound/C11526;metanetx.chemical/MNXM1715;sbo/SBO:0000247,C6H6O27P7,,c,s_0333,-13.0,O=P(O)(O)OC1C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)OP(=O)(O)O)C(OP(=O)(O)O)C1OP(=O)(O)O,MNXM1715,CHEBI:53065,C11526,MNXM1102135,O=P(O)(O)OC1C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)OP(=O)(O)O)C(OP(=O)(O)O)C1OP(=O)(O)O,UPHPWXPNZIOZJL
,6-O-[alpha-D-mannosyl-(1->4)-alpha-D-glucosaminyl]-O-acyl-1-phosphatidyl-1D-myo-inositol[er],6-O-[alpha-D-mannosyl-(1->4)-alpha-D-glucosaminyl]-O-acyl-1-phosphatidyl-1D-myo-inositol,,chebi/CHEBI:53056;metanetx.chemical/MNXM1644;sbo/SBO:0000247,,,er,s_0334,0.0,,MNXM1644,CHEBI:53056,,,,
,"6-O-phosphono-D-glucono-1,5-lactone[c]","6-O-phosphono-D-glucono-1,5-lactone",,bigg.metabolite/6pgl;chebi/CHEBI:57955;kegg.compound/C01236;metanetx.chemical/MNXM429;sbo/SBO:0000247,C6H9O9P,,c,s_0335,-2.0,O=C1OC(COP(=O)(O)O)C(O)C(O)C1O,MNXM429,CHEBI:57955,C01236,MNXM735971,O=C1OC(COP(=O)(O)O)C(O)C(O)C1O,IJOJIVNDFQSGAB
,6-O-{2-O-[(2-aminoethyl)phosphoryl]-alpha-D-mannosyl-(1->4)-alpha-D-glucosaminyl}-O-acyl-1-phosphatidyl-1D-myo-inositol[er],6-O-{2-O-[(2-aminoethyl)phosphoryl]-alpha-D-mannosyl-(1->4)-alpha-D-glucosaminyl}-O-acyl-1-phosphatidyl-1D-myo-inositol,,chebi/CHEBI:53057;metanetx.chemical/MNXM38904;sbo/SBO:0000247,,,er,s_0337,0.0,,MNXM38904,CHEBI:53057,,,,
,6-O-{alpha-D-mannosyl-(1->2)-alpha-D-mannosyl-(1->6)-2-O-[(2-aminoethyl)phosphoryl]-alpha-D-mannosyl-(1->4)-alpha-D-glucosaminyl}-O-acyl-1-phosphatidyl-1D-myo-inositol[er],6-O-{alpha-D-mannosyl-(1->2)-alpha-D-mannosyl-(1->6)-2-O-[(2-aminoethyl)phosphoryl]-alpha-D-mannosyl-(1->4)-alpha-D-glucosaminyl}-O-acyl-1-phosphatidyl-1D-myo-inositol,,chebi/CHEBI:53059;metanetx.chemical/MNXM1179;sbo/SBO:0000247,,,er,s_0338,0.0,,MNXM1179,CHEBI:53059,,,,
,6-O-{alpha-D-mannosyl-(1->6)-2-O-[(2-aminoethyl)phosphoryl]-alpha-D-mannosyl-(1->4)-alpha-D-glucosaminyl}-O-acyl-1-phosphatidyl-1D-myo-inositol[er],6-O-{alpha-D-mannosyl-(1->6)-2-O-[(2-aminoethyl)phosphoryl]-alpha-D-mannosyl-(1->4)-alpha-D-glucosaminyl}-O-acyl-1-phosphatidyl-1D-myo-inositol,,chebi/CHEBI:53058;metanetx.chemical/MNXM1139;sbo/SBO:0000247,,,er,s_0339,0.0,,MNXM1139,CHEBI:53058,,,,
,6-phospho-D-gluconate[c],6-phospho-D-gluconate,,bigg.metabolite/6pgc;chebi/CHEBI:58759;kegg.compound/C00345;metanetx.chemical/MNXM325;sbo/SBO:0000247,C6H10O10P,,c,s_0340,-3.0,O=C(O)C(O)C(O)C(O)C(O)COP(=O)(O)O,MNXM325,CHEBI:58759,C00345,MNXM734080,O=C(O)C(O)C(O)C(O)C(O)COP(=O)(O)O,BIRSGZKFKXLSJQ
,"7,8-diaminononanoate[c]","7,8-diaminononanoate",,bigg.metabolite/dann;chebi/CHEBI:17830;kegg.compound/C01037;metanetx.chemical/MNXM1140;sbo/SBO:0000247,C9H21N2O2,,c,s_0341,1.0,CC(N)C(N)CCCCCC(=O)O,MNXM1140,CHEBI:17830,C01037,,CC(N)C(N)CCCCCC(=O)O,KCEGBPIYGIWCDH
,"7,8-diaminononanoate[e]","7,8-diaminononanoate",,bigg.metabolite/dann;chebi/CHEBI:17830;kegg.compound/C01037;metanetx.chemical/MNXM1140;sbo/SBO:0000247,C9H21N2O2,,e,s_0342,1.0,CC(N)C(N)CCCCCC(=O)O,MNXM1140,CHEBI:17830,C01037,,CC(N)C(N)CCCCCC(=O)O,KCEGBPIYGIWCDH
,"7,8-dihydroneopterin[c]","7,8-dihydroneopterin",,bigg.metabolite/dhnpt;chebi/CHEBI:17001;kegg.compound/C04874;metanetx.chemical/MNXM162359;sbo/SBO:0000247,C9H13N5O4,,c,s_0343,0.0,Nc1nc2c(c(=O)[nH]1)N=C(C(O)C(O)CO)CN2,MNXM162359,CHEBI:17001,C04874,MNXM730300,Nc1nc2c(c(=O)[nH]1)N=C(C(O)C(O)CO)CN2,YQIFAMYNGGOTFB
,"7,8-dihydroneopterin[m]","7,8-dihydroneopterin",,bigg.metabolite/dhnpt;chebi/CHEBI:17001;kegg.compound/C04874;metanetx.chemical/MNXM162359;sbo/SBO:0000247,C9H13N5O4,,m,s_0344,0.0,Nc1nc2c(c(=O)[nH]1)N=C(C(O)C(O)CO)CN2,MNXM162359,CHEBI:17001,C04874,MNXM730300,Nc1nc2c(c(=O)[nH]1)N=C(C(O)C(O)CO)CN2,YQIFAMYNGGOTFB
,"7,8-dihydroneopterin 3'-phosphate[c]","7,8-dihydroneopterin 3'-phosphate",,bigg.metabolite/dhpmp;chebi/CHEBI:58762;kegg.compound/C05925;metanetx.chemical/MNXM1645;sbo/SBO:0000247,C9H12N5O7P,,c,s_0345,-2.0,Nc1nc2c(c(=O)[nH]1)N=C(C(O)C(O)COP(=O)(O)O)CN2,MNXM1645,CHEBI:58762,C05925,MNXM731003,Nc1nc2c(c(=O)[nH]1)N=C(C(O)C(O)COP(=O)(O)O)CN2,PLSQMGZYOGSOCE
,"7,8-dihydroneopterin 3'-triphosphate[c]","7,8-dihydroneopterin 3'-triphosphate",,bigg.metabolite/ahdt;chebi/CHEBI:58462;kegg.compound/C04895;metanetx.chemical/MNXM397;sbo/SBO:0000247,C9H12N5O13P3,,c,s_0346,-4.0,Nc1nc2c(c(=O)[nH]1)N=C(C(O)C(O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)CN2,MNXM397,CHEBI:58462,C04895,,Nc1nc2c(c(=O)[nH]1)N=C(C(O)C(O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)CN2,DGGUVLXVLHAAGT
,"7,8-dihydropteroate[c]","7,8-dihydropteroate",,bigg.metabolite/dhpt;chebi/CHEBI:17839;kegg.compound/C00921;metanetx.chemical/MNXM722728;sbo/SBO:0000247,C14H13N6O3,,c,s_0347,-1.0,Nc1nc2c(c(=O)[nH]1)N=C(CNc1ccc(C(=O)O)cc1)CN2,MNXM722728,CHEBI:17839,C00921,,Nc1nc2c(c(=O)[nH]1)N=C(CNc1ccc(C(=O)O)cc1)CN2,WBFYVDCHGVNRBH
,"7,8-dihydropteroate[m]","7,8-dihydropteroate",,bigg.metabolite/dhpt;chebi/CHEBI:17839;kegg.compound/C00921;metanetx.chemical/MNXM722728;sbo/SBO:0000247,C14H13N6O3,,m,s_0348,-1.0,Nc1nc2c(c(=O)[nH]1)N=C(CNc1ccc(C(=O)O)cc1)CN2,MNXM722728,CHEBI:17839,C00921,,Nc1nc2c(c(=O)[nH]1)N=C(CNc1ccc(C(=O)O)cc1)CN2,WBFYVDCHGVNRBH
,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[c],7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid,,bigg.metabolite/2dda7p;chebi/CHEBI:58394;kegg.compound/C04691;metanetx.chemical/MNXM1219;sbo/SBO:0000247,C7H10O10P,,c,s_0349,-3.0,O=C(O)C(=O)CC(O)C(O)C(O)COP(=O)(O)O,MNXM1219,CHEBI:58394,C04691,,O=C(O)C(=O)CC(O)C(O)C(O)COP(=O)(O)O,PJWIPEXIFFQAQZ
,7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid[m],7-phospho-2-dehydro-3-deoxy-D-arabino-heptonic acid,,bigg.metabolite/2dda7p;chebi/CHEBI:58394;kegg.compound/C04691;metanetx.chemical/MNXM1219;sbo/SBO:0000247,C7H10O10P,,m,s_0350,-3.0,O=C(O)C(=O)CC(O)C(O)C(O)COP(=O)(O)O,MNXM1219,CHEBI:58394,C04691,,O=C(O)C(=O)CC(O)C(O)C(O)COP(=O)(O)O,PJWIPEXIFFQAQZ
,8-amino-7-oxononanoate[c],8-amino-7-oxononanoate,,bigg.metabolite/8aonn;chebi/CHEBI:15830;kegg.compound/C01092;metanetx.chemical/MNXM1141;sbo/SBO:0000247,C9H17NO3,,c,s_0352,0.0,CC(N)C(=O)CCCCCC(=O)[O-],MNXM1141,CHEBI:15830,C01092,MNXM726863,CC(N)C(=O)CCCCCC(=O)[O-],GUAHPAJOXVYFON
,8-amino-7-oxononanoate[e],8-amino-7-oxononanoate,,bigg.metabolite/8aonn;chebi/CHEBI:15830;kegg.compound/C01092;metanetx.chemical/MNXM1141;sbo/SBO:0000247,C9H17NO3,,e,s_0354,0.0,CC(N)C(=O)CCCCCC(=O)[O-],MNXM1141,CHEBI:15830,C01092,MNXM726863,CC(N)C(=O)CCCCCC(=O)[O-],GUAHPAJOXVYFON
,9H-xanthine[c],9H-xanthine,,bigg.metabolite/xan;chebi/CHEBI:17712;kegg.compound/C00385;metanetx.chemical/MNXM174;sbo/SBO:0000247,C5H4N4O2,,c,s_0357,0.0,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,MNXM174,CHEBI:17712,C00385,,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,LRFVTYWOQMYALW
,9H-xanthine[e],9H-xanthine,,bigg.metabolite/xan;chebi/CHEBI:17712;kegg.compound/C00385;metanetx.chemical/MNXM174;sbo/SBO:0000247,C5H4N4O2,,e,s_0358,0.0,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,MNXM174,CHEBI:17712,C00385,,O=c1[nH]c(=O)c2[nH]cnc2[nH]1,LRFVTYWOQMYALW
,acetaldehyde[c],acetaldehyde,,bigg.metabolite/acald;chebi/CHEBI:15343;kegg.compound/C00084;metanetx.chemical/MNXM75;sbo/SBO:0000247,C2H4O,,c,s_0359,0.0,CC=O,MNXM75,CHEBI:15343,C00084,,CC=O,IKHGUXGNUITLKF
,acetaldehyde[e],acetaldehyde,,bigg.metabolite/acald;chebi/CHEBI:15343;kegg.compound/C00084;metanetx.chemical/MNXM75;sbo/SBO:0000247,C2H4O,,e,s_0360,0.0,CC=O,MNXM75,CHEBI:15343,C00084,,CC=O,IKHGUXGNUITLKF
,acetaldehyde[m],acetaldehyde,,bigg.metabolite/acald;chebi/CHEBI:15343;kegg.compound/C00084;metanetx.chemical/MNXM75;sbo/SBO:0000247,C2H4O,,m,s_0361,0.0,CC=O,MNXM75,CHEBI:15343,C00084,,CC=O,IKHGUXGNUITLKF
